,Income,Sales,Internet Adoption,Smart Phone Usage
Western Europe ,2191.45,6.7,0.77,0.85
Asia Pacific ,3833.333333,6.7,0.45,0.48
North America,3270,7.4,0.88,0.88
China,750.6308333,3.6,0.46,0.65
South America ,678,0.6,0.60,0.60
Middle East and Africa ,628.75,1.1,0.57,0.43
